x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
336883.154359, 3449219.75928, 14.8997153186, 0.72000002861, -0.314235886004, 0.178808487293, 0.0, 1600653322.9914, 0.12763155119, 1, 148.570600051, 0.0, 0.0, 91.9270858765
336883.159573, 3449219.76006, 14.8997585706, 0.72000002861, -0.318782379842, 0.178808487293, 0.0, 1600653323.0013, 0.129718709502, 1, 148.577800051, 0.0, 0.0, 91.9270858765
336883.164756, 3449219.76085, 14.8998105142, 0.72000002861, -0.294407685697, 0.178808487293, 0.0, 1600653323.0122, 0.131770768901, 1, 148.585000051, 0.0, 0.0, 91.9270858765
336883.169911, 3449219.76162, 14.8998655456, 0.699999988079, -0.277360542493, 0.178808487293, 0.0, 1600653323.0211, 0.133853544091, 1, 148.592000051, 0.0, 0.0, 91.9270858765
336883.175038, 3449219.7624, 14.8999264403, 0.699999988079, -0.300012819863, 0.178808487293, 0.0, 1600653323.0313, 0.135936270501, 1, 148.599000051, 0.0, 0.0, 91.9270858765
336883.180134, 3449219.76316, 14.8999894337, 0.699999988079, -0.31433872774, 0.178808487293, 0.0, 1600653323.0412, 0.138046501701, 1, 148.606000051, 0.0, 0.0, 91.9270858765
336883.185201, 3449219.76392, 14.900046487, 0.699999988079, -0.284437227838, 0.178808487293, 0.0, 1600653323.0513, 0.140157687673, 1, 148.613000051, 0.0, 0.0, 91.9270858765
336883.190241, 3449219.76467, 14.9000957116, 0.699999988079, -0.268651436659, 0.178808487293, 0.0, 1600653323.0613, 0.142271177461, 1, 148.620000051, 0.0, 0.0, 91.9270858765
336883.195253, 3449219.76543, 14.9001371485, 0.699999988079, -0.288704104226, 0.178808487293, 0.0, 1600653323.0713, 0.144373977033, 1, 148.627000051, 0.0, 0.0, 91.9270858765
336883.200236, 3449219.76618, 14.9001688106, 0.699999988079, -0.289447073665, 0.178808487293, 0.0, 1600653323.0812, 0.146466072462, 1, 148.634000051, 0.0, 0.0, 91.9270858765
336883.205188, 3449219.76693, 14.9001818403, 0.699999988079, -0.330321091169, 0.178808487293, 0.0, 1600653323.0911, 0.148533807949, 1, 148.641000051, 0.0, 0.0, 91.9270858765
336883.210109, 3449219.7677, 14.900174616, 0.680000007153, -0.280214278456, 0.178808487293, 0.0, 1600653323.1012, 0.150593041158, 1, 148.647800051, 0.0, 0.0, 91.9270858765
336883.214997, 3449219.76847, 14.9001523315, 0.680000007153, -0.329032241383, 0.178808487293, 0.0, 1600653323.1112, 0.152596201765, 1, 148.654600051, 0.0, 0.0, 91.9270858765
336883.219851, 3449219.76927, 14.9001254573, 0.680000007153, -0.320969585038, 0.178808487293, 0.0, 1600653323.1212, 0.154595062868, 1, 148.661400051, 0.0, 0.0, 91.9270858765
336883.227106, 3449219.76938, 14.8999108873, 0.680000007153, -0.297746439667, 0.178808487293, 0.0, 1600653323.1312, 0.155948346335, 1, 148.668200051, 0.0, 0.0, 91.9270858765
336883.231938, 3449219.77003, 14.8999874659, 0.649999976158, -0.320695236111, 0.178808487293, 0.0, 1600653323.1411, 0.157893248744, 1, 148.674700051, 0.0, 0.0, 91.9270858765
336883.236735, 3449219.7707, 14.900086211, 0.649999976158, -0.298392009139, 0.178808487293, 0.0, 1600653323.1510, 0.15981686531, 1, 148.68120005, 0.0, 0.0, 91.9270858765
336883.241496, 3449219.77139, 14.900214233, 0.649999976158, -0.341637327738, 0.178808487293, 0.0, 1600653323.1613, 0.161712999154, 1, 148.68770005, 0.0, 0.0, 91.9270858765
